geo,TIME_PERIOD,Deuda,Desempleo,Educación Universitaria,Prisioneros Setenciados,Riesgo de Pobreza,Protección Social,Privación de Recursos,Inmigración,Robos,Robos con violencia,Homicidios,Intento de Homicidio,Violencia Sexual,Corrupción
AT,2016,6.5,36.6,28.9,78.86,8.1,12182.53,18.8,129509.0,1651.67,35.66,0.56,1.14,50.53,36.22
AT,2017,5.9,38.1,29.7,78.81,9.1,12314.92,16.8,111801.0,1501.41,29.75,0.7,1.72,48.48,36.58
AT,2018,4.9,33.0,30.1,82.62,10.2,12667.5,13.4,105633.0,1346.62,27.16,0.83,1.48,50.16,35.29
AT,2019,4.3,28.6,31.1,81.94,8.3,13094.67,12.7,109167.0,1302.92,29.67,0.84,1.93,50.9,35.65
AT,2020,5.3,27.9,31.3,77.71,8.2,14511.96,14.7,103565.0,951.95,24.01,0.61,1.49,46.52,32.34
AT,2021,4.8,31.5,31.8,76.37,9.3,14938.58,10.7,118511.0,819.61,23.71,0.66,1.35,48.74,32.63
BE,2017,5.4,43.6,35.6,51.42,11.0,11286.33,26.2,126703.0,1969.42,155.44,1.74,8.55,76.06,40.49
BE,2018,6.1,43.5,36.0,50.2,10.2,11565.74,25.6,137860.0,1948.04,144.61,1.68,9.01,76.65,41.49
BE,2019,5.5,38.9,36.0,51.38,10.4,11948.18,23.8,150006.0,1956.68,140.47,1.27,8.89,81.6,41.68
BE,2020,5.6,37.2,37.6,50.92,9.0,13044.48,23.1,118683.0,1357.7,102.65,1.26,8.72,78.51,37.29
BG,2016,34.2,58.3,24.4,94.47,15.3,1185.37,33.3,21241.0,457.48,23.29,1.1,1.06,7.74,3.12
BG,2017,33.3,54.3,24.5,89.4,15.9,1248.3,22.5,25597.0,576.57,21.94,1.34,0.44,9.19,3.28
BG,2018,31.9,57.7,24.8,85.7,15.9,1347.15,23.1,29559.0,523.71,17.94,1.3,0.65,8.16,9.55
BG,2019,29.3,55.9,24.7,83.21,16.1,1459.95,33.6,37929.0,473.88,16.9,1.14,0.54,8.64,8.36
BG,2020,23.6,44.4,25.6,80.18,17.3,1661.23,42.2,37364.0,388.92,14.41,0.95,0.46,8.17,6.99
BG,2021,20.4,49.4,25.9,77.03,17.1,1952.12,29.3,39461.0,353.28,12.14,1.27,0.4,7.91,8.17
CH,2016,8.9,35.9,35.4,44.88,7.0,20221.84,10.8,149305.0,1757.62,22.53,0.54,2.25,32.93,45.02
CH,2017,8.3,34.7,36.8,45.23,8.3,20100.74,9.6,143377.0,1680.66,20.74,0.53,2.27,44.6,40.25
CH,2018,8.7,36.8,37.7,42.82,8.8,19528.42,8.9,144857.0,1550.49,19.38,0.59,1.76,33.51,0.22
CH,2019,8.8,34.2,38.6,42.83,8.4,20780.91,9.2,145129.0,1552.41,21.91,0.54,1.88,32.0,0.16
CH,2020,7.7,31.9,39.3,38.33,8.3,23677.81,8.1,138778.0,1409.73,22.65,0.55,2.39,33.8,0.24
CH,2021,6.9,36.8,39.2,37.71,10.2,23474.83,9.1,144907.0,1356.19,20.02,0.48,2.12,35.18,0.69
CY,2016,26.6,44.4,37.6,53.16,7.6,4312.36,27.3,17391.0,86.17,10.96,1.3,0.83,2.83,4.83
CY,2017,24.8,40.6,38.1,51.59,6.6,4327.59,25.4,21306.0,112.19,12.05,0.82,1.17,2.34,3.63
CY,2018,21.6,31.7,39.4,49.87,7.1,4393.71,24.0,23442.0,82.85,8.45,1.62,0.93,3.36,1.97
CY,2019,17.6,29.1,40.0,59.03,8.8,4859.44,20.6,26170.0,73.3,6.28,1.48,1.71,1.94,1.83
CZ,2016,4.4,42.1,20.6,194.94,4.3,3146.43,13.7,64083.0,674.86,15.6,0.62,0.67,13.2,28.04
CZ,2017,3.2,35.0,21.4,192.37,4.4,3359.0,12.5,51847.0,624.84,14.98,0.38,0.43,13.37,25.74
CZ,2018,3.0,30.5,21.7,186.25,6.3,3662.7,9.1,65910.0,560.2,13.25,0.52,0.41,13.65,24.47
CZ,2019,2.8,30.0,21.6,180.75,5.7,3973.77,5.7,105888.0,561.98,13.51,0.76,0.58,14.65,21.96
CZ,2020,3.0,22.1,22.1,165.66,3.9,4430.58,6.0,63095.0,426.77,11.67,0.53,0.64,13.59,15.79
